"Method","Time (ms)","Own Time (ms)"
"org.apache.ignite.internal.binary.BinaryUtils.doReadObject(BinaryInputStream, BinaryContext, ClassLoader, BinaryReaderHandlesHolder) BinaryUtils.java","25310","32"
"org.apache.ignite.internal.binary.BinaryUtils.doReadCollection(BinaryInputStream, BinaryContext, ClassLoader, BinaryReaderHandlesHolder, boolean, boolean, BinaryCollectionFactory) BinaryUtils.java","14337","0"
"org.apache.ignite.internal.binary.BinaryReaderExImpl.setHandle(Object, int) BinaryReaderExImpl.java","11356","0"
"org.apache.ignite.internal.binary.BinaryReaderHandles.put(int, Object) BinaryReaderHandles.java","11356","2657"
"java.util.HashMap.put(Object, Object) HashMap.java","10515","10515"
"org.apache.ignite.internal.binary.BinaryReaderExImpl.<init>(BinaryContext, BinaryInputStream, ClassLoader, BinaryReaderHandles, boolean) BinaryReaderExImpl.java","5623","4948"
"java.util.HashSet.add(Object) HashSet.java","1942","1942"
"java.lang.reflect.Field.set(Object, Object) Field.java","1747","1747"
"io.grpc.internal.ServerCallImpl$ServerStreamListenerImpl.messagesAvailable(StreamListener$MessageProducer) ServerCallImpl.java","1734","0"
"io.grpc.internal.ServerCallImpl$ServerStreamListenerImpl.messagesAvailableInternal(StreamListener$MessageProducer) ServerCallImpl.java","1734","0"
"io.grpc.internal.ServerImpl$JumpToApplicationThreadServerStreamListener$1MessagesAvailable.runInContext() ServerImpl.java","1734","0"
"java.lang.ClassLoader.loadClass(String) ClassLoader.java","1528","1745"
"com.futurewei.alcor.netwconfigmanager.server.grpc.GoalStateProvisionerServer$GoalStateProvisionerImpl$1.onNext(Object) GoalStateProvisionerServer.java","1475","0"
"com.futurewei.alcor.netwconfigmanager.server.grpc.GoalStateProvisionerServer$GoalStateProvisionerImpl$1.onNext(Goalstate$GoalStateV2) GoalStateProvisionerServer.java","1475","0"
"io.grpc.stub.ServerCalls$StreamingServerCallHandler$StreamingServerCallListener.onMessage(Object) ServerCalls.java","1475","0"
"java.util.concurrent.ConcurrentHashMap.get(Object) ConcurrentHashMap.java","1169","1169"
"com.futurewei.alcor.netwconfigmanager.service.impl.GoalStatePersistenceServiceImpl.updateGoalState(String, HostGoalState) GoalStatePersistenceServiceImpl.java","1145","0"
"org.apache.ignite.internal.binary.BinaryContext.descriptorForTypeId(boolean, int, ClassLoader, boolean) BinaryContext.java","1134","0"
"org.apache.ignite.internal.client.thin.TcpIgniteClient$ClientMarshallerContext.getClass(int, ClassLoader) TcpIgniteClient.java","1069","0"
"org.apache.ignite.internal.util.IgniteUtils.forName(String, ClassLoader, IgnitePredicate) IgniteUtils.java","1069","0"
"io.grpc.netty.shaded.io.netty.util.concurrent.SingleThreadEventExecutor.runAllTasks(long) SingleThreadEventExecutor.java","939","0"
"org.apache.ignite.internal.binary.BinaryReaderExImpl.setHandle(Object) BinaryReaderExImpl.java","932","0"
"io.grpc.netty.shaded.io.netty.util.concurrent.AbstractEventExecutor.safeExecute(Runnable) AbstractEventExecutor.java","918","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServer$1.initChannel(Channel) NettyServer.java","851","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannel$AbstractUnsafe.register0(ChannelPromise) AbstractChannel.java","851","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannel$AbstractUnsafe$1.run() AbstractChannel.java","851","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.callHandlerAdded() AbstractChannelHandlerContext.java","851","0"
"io.grpc.netty.shaded.io.netty.channel.ChannelInitializer.handlerAdded(ChannelHandlerContext) ChannelInitializer.java","851","0"
"io.grpc.netty.shaded.io.netty.channel.ChannelInitializer.initChannel(ChannelHandlerContext) ChannelInitializer.java","851","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.callHandlerAdded0(AbstractChannelHandlerContext) DefaultChannelPipeline.java","851","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.callHandlerAddedForAllHandlers() DefaultChannelPipeline.java","851","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.invokeHandlerAddedIfNeeded() DefaultChannelPipeline.java","851","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline$PendingHandlerAddedTask.execute() DefaultChannelPipeline.java","851","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerTransport.start(ServerTransportListener) NettyServerTransport.java","730","0"
"com.futurewei.alcor.netwconfigmanager.service.impl.GoalStatePersistenceServiceImpl.populateVpcResourceCache(HostGoalState, Map) GoalStatePersistenceServiceImpl.java","701","0"
"com.futurewei.alcor.common.db.ignite.IgniteClientDbCache.put(Object, Object) IgniteClientDbCache.java","684","0"
"org.apache.ignite.internal.client.thin.TcpClientCache.put(Object, Object) TcpClientCache.java","684","0"
"org.apache.ignite.internal.binary.BinaryReaderExImpl.<init>(BinaryContext, BinaryInputStream, ClassLoader, BinaryReaderHandles, boolean, boolean) BinaryReaderExImpl.java","674","652"
"org.apache.ignite.internal.client.thin.TcpClientChannel.send(ClientOperation, Consumer) TcpClientChannel.java","665","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerTransport.createHandler(ServerTransportListener, ChannelPromise) NettyServerTransport.java","616","0"
"org.apache.ignite.internal.binary.BinaryUtils.doReadBinaryObject(BinaryInputStream, BinaryContext, boolean) BinaryUtils.java","599","10"
"org.apache.ignite.internal.binary.BinaryUtils.doReadByteArray(BinaryInputStream) BinaryUtils.java","588","0"
"org.apache.ignite.internal.binary.streams.BinaryAbstractInputStream.readByteArray(int) BinaryAbstractInputStream.java","588","588"
"org.apache.ignite.internal.binary.BinaryFieldAccessor$DefaultFinalClassAccessor.readFixedType(BinaryReaderExImpl) BinaryFieldAccessor.java","568","0"
"org.apache.ignite.internal.binary.BinaryReaderExImpl.readString(int) BinaryReaderExImpl.java","568","0"
"org.apache.ignite.internal.binary.BinaryReaderExImpl.readString() BinaryReaderExImpl.java","568","556"
"com.futurewei.alcor.common.logging.Logger.log(Level, String) Logger.java","524","0"
"java.util.logging.Logger.log(Level, String) Logger.java","524","514"
"io.jaegertracing.internal.reporters.RemoteReporter.flush() RemoteReporter.java","425","10"
"io.jaegertracing.internal.reporters.RemoteReporter$1.run() RemoteReporter.java","425","0"
"java.util.TimerThread.run() Timer.java","425","0"
"java.util.concurrent.ArrayBlockingQueue.offer(Object) ArrayBlockingQueue.java","415","415"
"com.futurewei.alcor.netwconfigmanager.cache.ResourceStateCache$$EnhancerBySpringCGLIB$$ee189f20.addResourceState(String, Object) <generated>","365","0"
"com.futurewei.alcor.netwconfigmanager.cache.ResourceStateCache.addResourceState(String, Object) ResourceStateCache.java","354","0"
"com.futurewei.alcor.netwconfigmanager.cache.ResourceStateCache$$FastClassBySpringCGLIB$$d3c76de.invoke(int, Object, Object[]) <generated>","354","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.EpollEventLoop.processReady(EpollEventArray, int) EpollEventLoop.java","344","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler.newHandler(ServerTransportListener, ChannelPromise, List, TransportTracer, int, int, int, int, long, long, long, long, long, boolean, long) NettyServerHandler.java","342","0"
"org.apache.ignite.internal.client.thin.TcpClientChannel$ByteCountingDataInput.readLong() TcpClientChannel.java","327","0"
"java.net.SocketOutputStream.write(byte[], int, int) SocketOutputStream.java","324","324"
"org.apache.ignite.internal.client.thin.TcpClientChannel.write(byte[], int) TcpClientChannel.java","324","0"
"org.apache.ignite.internal.client.thin.TcpClientCache.lambda$cacheSingleKeyOperation$26(Object, Consumer, PayloadOutputChannel) TcpClientCache.java","318","0"
"org.apache.ignite.internal.client.thin.TcpClientCache$$Lambda$677.accept(Object)","318","0"
"org.apache.ignite.internal.client.thin.ClientUtils.writeObject(BinaryOutputStream, Object) ClientUtils.java","318","0"
"org.apache.ignite.internal.client.thin.TcpClientCache.writeObject(PayloadOutputChannel, Object) TcpClientCache.java","318","0"
"com.google.protobuf.AbstractMessage.toString() AbstractMessage.java","318","0"
"com.futurewei.alcor.netwconfigmanager.cache.VpcResourceCache.addResourceMeta(VpcResourceMeta) VpcResourceCache.java","308","0"
"com.futurewei.alcor.netwconfigmanager.cache.VpcResourceCache$$EnhancerBySpringCGLIB$$829e3684.addResourceMeta(VpcResourceMeta) <generated>","308","0"
"org.apache.ignite.internal.client.thin.TcpClientCache.lambda$put$0(Object, PayloadOutputChannel) TcpClientCache.java","308","0"
"org.apache.ignite.internal.client.thin.TcpClientCache$$Lambda$678.accept(Object)","308","0"
"org.apache.ignite.internal.binary.GridBinaryMarshaller.marshal(Object, boolean) GridBinaryMarshaller.java","306","0"
"org.apache.ignite.internal.client.thin.ClientBinaryMarshaller.marshal(Object) ClientBinaryMarshaller.java","306","0"
"com.google.protobuf.TextFormat.print(MessageOrBuilder, Appendable) TextFormat.java","306","0"
"com.google.protobuf.TextFormat.printToString(MessageOrBuilder) TextFormat.java","306","0"
"com.google.protobuf.TextFormat$Printer.print(MessageOrBuilder, TextFormat$TextGenerator) TextFormat.java","306","10"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.marshal(Object, boolean) BinaryWriterExImpl.java","296","0"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.marshal(Object) BinaryWriterExImpl.java","296","0"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.marshal0(Object, boolean) BinaryWriterExImpl.java","296","0"
"com.google.protobuf.GeneratedMessageV3.getAllFields() GeneratedMessageV3.java","262","0"
"com.google.protobuf.GeneratedMessageV3.getAllFieldsMutable(boolean) GeneratedMessageV3.java","262","0"
"com.futurewei.alcor.schema.Goalstate$GoalStateV2$1.parsePartialFrom(CodedInputStream, ExtensionRegistryLite) Goalstate.java","258","0"
"com.futurewei.alcor.schema.Goalstate$GoalStateV2$1.parsePartialFrom(CodedInputStream, ExtensionRegistryLite) Goalstate.java","258","0"
"com.google.protobuf.AbstractParser.parseFrom(CodedInputStream, ExtensionRegistryLite) AbstractParser.java","258","0"
