"Method","Time (ms)","Own Time (ms)"
"io.grpc.netty.shaded.io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.newEpollHandle(RecvByteBufAllocator$ExtendedHandle) AbstractEpollChannel.java","79","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.recvBufAllocHandle() AbstractEpollChannel.java","79","0"
"com.google.protobuf.CodedInputStream$ArrayDecoder.readMessage(Parser, ExtensionRegistryLite) CodedInputStream.java","79","0"
"io.grpc.netty.shaded.io.grpc.netty.AbstractNettyHandler.handlerAdded(ChannelHandlerContext) AbstractNettyHandler.java","78","0"
"com.google.protobuf.CodedOutputStream.computeMessageSize(int, MessageLite) CodedOutputStream.java","74","0"
"com.google.protobuf.CodedOutputStream.computeMessageSizeNoTag(MessageLite) CodedOutputStream.java","74","0"
"io.grpc.netty.shaded.io.netty.buffer.AbstractByteBufAllocator.directBuffer(int, int) AbstractByteBufAllocator.java","70","0"
"io.grpc.netty.shaded.io.netty.buffer.AbstractByteBufAllocator.directBuffer(int) AbstractByteBufAllocator.java","70","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DecoratingHttp2FrameWriter.writeSettings(ChannelHandlerContext, Http2Settings, ChannelPromise) DecoratingHttp2FrameWriter.java","68","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2ConnectionEncoder.writeSettings(ChannelHandlerContext, Http2Settings, ChannelPromise) DefaultHttp2ConnectionEncoder.java","68","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2ConnectionHandler.handlerAdded(ChannelHandlerContext) Http2ConnectionHandler.java","68","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2ConnectionHandler$PrefaceDecoder.<init>(Http2ConnectionHandler, ChannelHandlerContext) Http2ConnectionHandler.java","68","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2ConnectionHandler$PrefaceDecoder.sendPreface(ChannelHandlerContext) Http2ConnectionHandler.java","68","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2OutboundFrameLogger.writeSettings(ChannelHandlerContext, Http2Settings, ChannelPromise) Http2OutboundFrameLogger.java","68","0"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.doWriteCollection(Collection) BinaryWriterExImpl.java","67","0"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.writeCollectionField(Collection) BinaryWriterExImpl.java","67","0"
"java.lang.invoke.MethodHandleNatives.linkCallSite(Object, int, Object, Object, Object, Object, Object[]) MethodHandleNatives.java","65","65"
"io.grpc.netty.shaded.io.grpc.netty.GrpcHttp2HeadersUtils$GrpcHttp2ServerHeadersDecoder.<init>(long) GrpcHttp2HeadersUtils.java","62","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2HeadersDecoder.<init>(boolean, long, int) DefaultHttp2HeadersDecoder.java","62","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2HeadersDecoder.<init>(boolean, long) DefaultHttp2HeadersDecoder.java","62","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2FrameWriter.<init>() DefaultHttp2FrameWriter.java","61","0"
"com.google.protobuf.GeneratedMessageV3.getField(Descriptors$FieldDescriptor) GeneratedMessageV3.java","58","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerTransport.<clinit>() NettyServerTransport.java","57","10"
"io.grpc.netty.shaded.io.netty.buffer.AbstractByteBufAllocator.buffer(int) AbstractByteBufAllocator.java","57","0"
"io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator.newDirectBuffer(int, int) PooledByteBufAllocator.java","57","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2FrameWriter.writeSettings(ChannelHandlerContext, Http2Settings, ChannelPromise) DefaultHttp2FrameWriter.java","57","0"
"com.futurewei.alcor.schema.Gateway.<clinit>() Gateway.java","55","0"
"com.futurewei.alcor.schema.Vpc.<clinit>() Vpc.java","55","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$SingularEnumFieldAccessor.<init>(Descriptors$FieldDescriptor, String, Class, Class, String) GeneratedMessageV3.java","52","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2HeadersEncoder.<init>() DefaultHttp2HeadersEncoder.java","50","0"
"io.grpc.netty.shaded.io.netty.buffer.Unpooled.wrappedBuffer(byte[]) Unpooled.java","50","0"
"com.futurewei.alcor.schema.Goalstate$GoalStateV2.internalGetFieldAccessorTable() Goalstate.java","48","0"
"java.util.IdentityHashMap.put(Object, Object) IdentityHashMap.java","48","48"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.tryWriteAsHandle(Object) BinaryWriterExImpl.java","48","0"
"org.apache.ignite.internal.binary.BinaryWriterHandles.put(Object, int) BinaryWriterHandles.java","48","0"
"com.google.protobuf.MapEntry.<init>(MapEntry$Metadata, CodedInputStream, ExtensionRegistryLite) MapEntry.java","46","12"
"com.google.protobuf.MapEntry.<init>(MapEntry$Metadata, CodedInputStream, ExtensionRegistryLite, MapEntry$1) MapEntry.java","46","0"
"com.google.protobuf.MapEntry$Metadata$1.parsePartialFrom(CodedInputStream, ExtensionRegistryLite) MapEntry.java","46","0"
"com.google.protobuf.MapEntry$Metadata$1.parsePartialFrom(CodedInputStream, ExtensionRegistryLite) MapEntry.java","46","0"
"com.google.protobuf.GeneratedMessageV3.invokeOrDie(Method, Object, Object[]) GeneratedMessageV3.java","45","0"
"io.grpc.internal.StatsTraceContext.newServerContext(List, String, Metadata) StatsTraceContext.java","45","0"
"com.google.protobuf.Descriptors$FileDescriptor.buildFrom(DescriptorProtos$FileDescriptorProto, Descriptors$FileDescriptor[], boolean) Descriptors.java","43","0"
"com.futurewei.alcor.schema.Port$PortConfiguration.getSerializedSize() Port.java","41","0"
"com.futurewei.alcor.schema.Port$PortState.getSerializedSize() Port.java","41","0"
"org.apache.ignite.internal.client.thin.TcpClientChannel$ByteCountingDataInput.readShort() TcpClientChannel.java","41","0"
"io.grpc.netty.shaded.io.netty.buffer.PoolArena.allocate(PoolThreadCache, int, int) PoolArena.java","35","0"
"com.futurewei.alcor.netwconfigmanager.cache.HostResourceMetadataCache$$EnhancerBySpringCGLIB$$521f3dc0.getTransaction() <generated>","34","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2Headers$PseudoHeaderName.<clinit>() Http2Headers.java","34","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.ReadOnlyHttp2Headers.serverHeaders(boolean, AsciiString, AsciiString[]) ReadOnlyHttp2Headers.java","34","0"
"java.lang.invoke.LambdaForm$MH.182988318.linkToTargetMethod(Object, int, long, Object) LambdaForm$MH","34","34"
"io.grpc.netty.shaded.io.netty.channel.epoll.EpollRecvByteAllocatorHandle.<init>(RecvByteBufAllocator$ExtendedHandle) EpollRecvByteAllocatorHandle.java","34","0"
"io.grpc.internal.AbstractStream$TransportState.requestMessagesFromDeframer(int) AbstractStream.java","33","0"
"io.grpc.internal.MessageDeframer.deliver() MessageDeframer.java","33","0"
"io.grpc.internal.MessageDeframer.request(int) MessageDeframer.java","33","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerStream$Sink$1.run() NettyServerStream.java","33","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$SingularFieldAccessor.get(GeneratedMessageV3) GeneratedMessageV3.java","33","0"
"io.grpc.internal.CensusStatsModule$ServerTracerFactory.newServerStreamTracer(String, Metadata) CensusStatsModule.java","33","0"
"com.futurewei.alcor.netwconfigmanager.service.impl.GoalStatePersistenceServiceImpl.processVpcStates(HostGoalState) GoalStatePersistenceServiceImpl.java","32","0"
"com.futurewei.alcor.netwconfigmanager.cache.HostResourceMetadataCache$$FastClassBySpringCGLIB$$fc3227be.invoke(int, Object, Object[]) <generated>","32","0"
"java.lang.Integer.valueOf(int) Integer.java","32","32"
"java.lang.String.getBytes(Charset) String.java","32","32"
"io.grpc.netty.shaded.io.grpc.netty.WriteQueue.flush() WriteQueue.java","32","0"
"io.grpc.netty.shaded.io.grpc.netty.WriteQueue$1.run() WriteQueue.java","32","0"
"java.util.concurrent.locks.LockSupport.unpark(Thread) LockSupport.java","30","30"
"org.apache.ignite.internal.util.future.GridFutureAdapter.onDone(Object, Throwable, boolean) GridFutureAdapter.java","30","0"
"org.apache.ignite.internal.util.future.GridFutureAdapter.onDone(Object, Throwable) GridFutureAdapter.java","30","0"
"org.apache.ignite.internal.util.future.GridFutureAdapter.unblock(Object) GridFutureAdapter.java","30","0"
"org.apache.ignite.internal.util.future.GridFutureAdapter.unblockAll(GridFutureAdapter$Node) GridFutureAdapter.java","30","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2HeadersDecoder.<init>(boolean, HpackDecoder) DefaultHttp2HeadersDecoder.java","29","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2CodecUtil.<clinit>() Http2CodecUtil.java","29","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.Http2HeadersEncoder.<clinit>() Http2HeadersEncoder.java","26","0"
"jdk.internal.misc.InnocuousThread.run() InnocuousThread.java","26","26"
"com.futurewei.alcor.schema.Port$PortConfiguration.internalGetFieldAccessorTable() Port.java","25","0"
"io.grpc.internal.AbstractServerStream$TransportState.<init>(int, StatsTraceContext, TransportTracer) AbstractServerStream.java","24","0"
"io.grpc.internal.AbstractStream$TransportState.<init>(int, StatsTraceContext, TransportTracer) AbstractStream.java","24","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerStream$TransportState.<init>(NettyServerHandler, EventLoop, Http2Stream, int, StatsTraceContext, TransportTracer, String) NettyServerStream.java","24","0"
"com.futurewei.alcor.schema.Goalstate$ResourceIdType.internalGetFieldAccessorTable() Goalstate.java","24","0"
"com.futurewei.alcor.schema.Subnet$SubnetState.internalGetFieldAccessorTable() Subnet.java","24","0"
"io.grpc.internal.ServerImpl$ServerListenerImpl.transportCreated(ServerTransport) ServerImpl.java","24","0"
"io.grpc.netty.shaded.io.netty.buffer.PoolArena.allocate(PoolThreadCache, PooledByteBuf, int) PoolArena.java","24","0"
"io.grpc.netty.shaded.io.netty.buffer.PoolArena.allocateNormal(PooledByteBuf, int, int) PoolArena.java","24","0"
"io.grpc.netty.shaded.io.netty.buffer.PoolArena$DirectArena.newChunk(int, int, int, int) PoolArena.java","24","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.AbstractEpollStreamChannel.<init>(Channel, LinuxSocket, SocketAddress) AbstractEpollStreamChannel.java","24","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.EpollServerSocketChannel.newChildChannel(int, byte[], int, int) EpollServerSocketChannel.java","24","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.EpollSocketChannel.<init>(Channel, LinuxSocket, InetSocketAddress) EpollSocketChannel.java","24","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2HeadersEncoder.<init>(Http2HeadersEncoder$SensitivityDetector) DefaultHttp2HeadersEncoder.java","24","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.WeightedFairQueueByteDistributor.<init>(Http2Connection, int) WeightedFairQueueByteDistributor.java","24","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.WeightedFairQueueByteDistributor.<init>(Http2Connection) WeightedFairQueueByteDistributor.java","24","0"
"java.lang.ThreadLocal.get() ThreadLocal.java","24","24"
"io.grpc.netty.shaded.io.netty.buffer.AbstractByteBuf.<clinit>() AbstractByteBuf.java","23","10"
"io.grpc.netty.shaded.io.netty.buffer.Unpooled.<clinit>() Unpooled.java","22","0"
"com.google.protobuf.DescriptorProtos$DescriptorProto.<init>(CodedInputStream, ExtensionRegistryLite, DescriptorProtos$1) DescriptorProtos.java","22","0"
"com.google.protobuf.DescriptorProtos$DescriptorProto.<init>(CodedInputStream, ExtensionRegistryLite) DescriptorProtos.java","22","0"
"com.google.protobuf.DescriptorProtos$DescriptorProto$1.parsePartialFrom(CodedInputStream, ExtensionRegistryLite) DescriptorProtos.java","22","0"
"com.google.protobuf.DescriptorProtos$DescriptorProto$1.parsePartialFrom(CodedInputStream, ExtensionRegistryLite) DescriptorProtos.java","22","0"
"io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator$PoolThreadLocalCache.initialValue() PooledByteBufAllocator.java","22","0"
"io.grpc.netty.shaded.io.netty.buffer.PooledByteBufAllocator$PoolThreadLocalCache.initialValue() PooledByteBufAllocator.java","22","0"
"io.grpc.netty.shaded.io.netty.buffer.PoolThreadCache.<init>(PoolArena, PoolArena, int, int, int, int, int) PoolThreadCache.java","22","0"
"io.grpc.netty.shaded.io.netty.util.concurrent.FastThreadLocal.get() FastThreadLocal.java","22","0"
"io.grpc.netty.shaded.io.netty.util.concurrent.FastThreadLocal.initialize(InternalThreadLocalMap) FastThreadLocal.java","22","0"
"com.futurewei.alcor.schema.Neighbor$NeighborState.internalGetFieldAccessorTable() Neighbor.java","22","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$SingularMessageFieldAccessor.<init>(Descriptors$FieldDescriptor, String, Class, Class, String) GeneratedMessageV3.java","22","0"
"io.grpc.netty.shaded.io.netty.buffer.AbstractReferenceCountedByteBuf.handleRelease(boolean) AbstractReferenceCountedByteBuf.java","22","0"
"io.grpc.netty.shaded.io.netty.buffer.AbstractReferenceCountedByteBuf.release() AbstractReferenceCountedByteBuf.java","22","0"
"io.grpc.netty.shaded.io.netty.buffer.PoolArena.free(PoolChunk, ByteBuffer, long, int, PoolThreadCache) PoolArena.java","22","12"
"io.grpc.netty.shaded.io.netty.buffer.PooledByteBuf.deallocate() PooledByteBuf.java","22","0"
"io.grpc.internal.ServerImpl$ServerTransportListenerImpl.streamCreated(ServerStream, String, Metadata) ServerImpl.java","22","0"
"io.grpc.internal.ServerImpl$ServerTransportListenerImpl.streamCreatedInternal(ServerStream, String, Metadata, Tag) ServerImpl.java","22","0"
"io.grpc.internal.ServerImpl$ServerTransportListenerImpl.startCall(ServerStream, String, ServerMethodDefinition, Metadata, Context$CancellableContext, StatsTraceContext, Tag) ServerImpl.java","22","0"
"io.grpc.internal.ServerImpl$ServerTransportListenerImpl.startWrappedCall(String, ServerMethodDefinition, ServerStream, Metadata, Context$CancellableContext, Tag) ServerImpl.java","22","0"
"io.grpc.internal.ServerImpl$ServerTransportListenerImpl$1StreamCreated.runInContext() ServerImpl.java","22","0"
"io.grpc.internal.ServerImpl$ServerTransportListenerImpl$1StreamCreated.runInternal() ServerImpl.java","22","0"
"com.futurewei.alcor.schema.Vpc$VpcState.getSerializedSize() Vpc.java","22","0"
"org.apache.ignite.internal.binary.BinaryWriterExImpl.doWriteString(String) BinaryWriterExImpl.java","22","0"
"org.apache.ignite.internal.binary.streams.BinaryAbstractOutputStream.writeByteArray(byte[]) BinaryAbstractOutputStream.java","22","10"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2Connection.<init>(boolean) DefaultHttp2Connection.java","22","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2Connection.<init>(boolean, int) DefaultHttp2Connection.java","22","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler.sendResponseHeaders(ChannelHandlerContext, SendResponseHeadersCommand, ChannelPromise) NettyServerHandler.java","22","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler.write(ChannelHandlerContext, Object, ChannelPromise) NettyServerHandler.java","22","0"
"io.grpc.netty.shaded.io.grpc.netty.WriteQueue$AbstractQueuedCommand.run(Channel) WriteQueue.java","22","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannel.write(Object, ChannelPromise) AbstractChannel.java","22","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.invokeWrite(Object, ChannelPromise) AbstractChannelHandlerContext.java","22","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.invokeWrite0(Object, ChannelPromise) AbstractChannelHandlerContext.java","22","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.write(Object, boolean, ChannelPromise) AbstractChannelHandlerContext.java","22","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.write(Object, ChannelPromise) AbstractChannelHandlerContext.java","22","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline.write(Object, ChannelPromise) DefaultChannelPipeline.java","22","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DecoratingHttp2FrameWriter.writeHeaders(ChannelHandlerContext, int, Http2Headers, int, boolean, ChannelPromise) DecoratingHttp2FrameWriter.java","22","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2ConnectionEncoder.writeHeaders(ChannelHandlerContext, int, Http2Headers, int, boolean, ChannelPromise) DefaultHttp2ConnectionEncoder.java","22","0"
"io.grpc.netty.shaded.io.netty.handler.codec.http2.DefaultHttp2ConnectionEncoder.writeHeaders(ChannelHandlerContext, int, Http2Headers, int, short, boolean, int, boolean, ChannelPromise) DefaultHttp2ConnectionEncoder.java","22","0"
"com.google.protobuf.Descriptors$FileDescriptor.<init>(DescriptorProtos$FileDescriptorProto, Descriptors$FileDescriptor[], Descriptors$DescriptorPool, boolean) Descriptors.java","22","12"
"org.apache.ignite.internal.binary.BinaryFieldAccessor$DefaultFinalClassAccessor.mode(Object) BinaryFieldAccessor.java","22","22"
"org.apache.ignite.internal.binary.streams.BinaryHeapOutputStream.<init>(int, BinaryMemoryAllocatorChunk) BinaryHeapOutputStream.java","22","22"
"java.lang.reflect.Field.get(Object) Field.java","22","22"
"org.apache.ignite.internal.binary.BinaryUtils.doReadString(BinaryInputStream) BinaryUtils.java","22","12"
"com.google.protobuf.MapEntryLite.parseEntry(CodedInputStream, MapEntryLite$Metadata, ExtensionRegistryLite) MapEntryLite.java","22","0"
"com.google.protobuf.MapEntryLite.parseField(CodedInputStream, ExtensionRegistryLite, WireFormat$FieldType, Object) MapEntryLite.java","22","0"
"com.yourkit.probes.builtin.Databases$Connection_or_Statement_close_Probe.onEnter(Object) a","21","21"
"java.util.LinkedHashMap.get(Object) LinkedHashMap.java","21","21"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannel$AbstractUnsafe.flush() AbstractChannel.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannel$AbstractUnsafe.flush0() AbstractChannel.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.flush() AbstractChannelHandlerContext.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.invokeFlush() AbstractChannelHandlerContext.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.AbstractChannelHandlerContext.invokeFlush0() AbstractChannelHandlerContext.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.ChannelOutboundBuffer.remove() ChannelOutboundBuffer.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.ChannelOutboundBuffer.removeBytes(long) ChannelOutboundBuffer.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.DefaultChannelPipeline$HeadContext.flush(ChannelHandlerContext) DefaultChannelPipeline.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe.flush0() AbstractEpollChannel.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.AbstractEpollStreamChannel.doWrite(ChannelOutboundBuffer) AbstractEpollStreamChannel.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.AbstractEpollStreamChannel.doWriteMultiple(ChannelOutboundBuffer) AbstractEpollStreamChannel.java","21","0"
"io.grpc.netty.shaded.io.netty.channel.epoll.AbstractEpollStreamChannel.writeBytesMultiple(ChannelOutboundBuffer, IovArray) AbstractEpollStreamChannel.java","21","0"
"io.grpc.stub.ServerCalls$ServerCallStreamObserverImpl.onCompleted() ServerCalls.java","20","10"
"com.futurewei.alcor.netwconfigmanager.cache.HostResourceMetadataCache.addResourceMeta(ResourceMeta) HostResourceMetadataCache.java","20","0"
"com.futurewei.alcor.netwconfigmanager.cache.HostResourceMetadataCache$$EnhancerBySpringCGLIB$$521f3dc0.addResourceMeta(ResourceMeta) <generated>","20","0"
"com.google.protobuf.ByteString.copyFromUtf8(String) ByteString.java","20","0"
"org.apache.ignite.internal.util.IgniteUtils.newHashSet(int) IgniteUtils.java","20","10"
"com.futurewei.alcor.schema.Neighbor$NeighborConfiguration.getSerializedSize() Neighbor.java","20","10"
"com.futurewei.alcor.schema.Neighbor$NeighborState.getSerializedSize() Neighbor.java","20","0"
"org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run() TaskThread.java","20","0"
"io.jaegertracing.internal.reporters.RemoteReporter$QueueProcessor.run() RemoteReporter.java","20","0"
"java.util.concurrent.ConcurrentHashMap.remove(Object) ConcurrentHashMap.java","20","20"
"com.futurewei.alcor.schema.Port$PortState.internalGetFieldAccessorTable() Port.java","16","0"
"io.grpc.netty.shaded.io.netty.buffer.AbstractByteBuf.writeBytes(byte[], int, int) AbstractByteBuf.java","16","0"
"io.grpc.netty.shaded.io.netty.buffer.AbstractByteBuf.writeBytes(byte[]) AbstractByteBuf.java","16","0"
"io.grpc.netty.shaded.io.netty.buffer.UnpooledUnsafeDirectByteBuf.setBytes(int, byte[], int, int) UnpooledUnsafeDirectByteBuf.java","16","0"
"io.grpc.netty.shaded.io.netty.buffer.Unpooled.directBuffer(int) Unpooled.java","13","0"
"io.grpc.netty.shaded.io.netty.buffer.UnpooledByteBufAllocator.newDirectBuffer(int, int) UnpooledByteBufAllocator.java","13","13"
"io.grpc.netty.shaded.io.netty.util.ResourceLeakDetectorFactory.<clinit>() ResourceLeakDetectorFactory.java","12","0"
"io.grpc.netty.shaded.io.netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.<init>() ResourceLeakDetectorFactory.java","12","0"
"io.grpc.netty.shaded.io.netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory$1.<init>(ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory) ResourceLeakDetectorFactory.java","12","12"
"com.futurewei.alcor.common.db.ignite.IgniteClientTransaction.start() IgniteClientTransaction.java","12","0"
"com.futurewei.alcor.common.utils.CommonUtil.<clinit>() CommonUtil.java","12","0"
"com.futurewei.alcor.netwconfigmanager.cache.HostResourceMetadataCache.getTransaction() HostResourceMetadataCache.java","12","0"
"com.futurewei.alcor.netwconfigmanager.entity.ResourceMeta.addPortId(String) ResourceMeta.java","12","0"
"com.futurewei.alcor.netwconfigmanager.util.NetworkConfigManagerUtil.splitClusterToHostGoalState(Goalstate$GoalStateV2) NetworkConfigManagerUtil.java","12","0"
"com.futurewei.alcor.netwconfigmanager.util.NetworkConfigManagerUtil$1.<clinit>() NetworkConfigManagerUtil.java","12","0"
"com.futurewei.alcor.schema.Common$ResourceType.<clinit>() Common.java","12","0"
"com.futurewei.alcor.schema.Goalstate$GoalStateV2.internalGetMapField(int) Goalstate.java","12","0"
"com.futurewei.alcor.schema.Goalstate$GoalStateV2.internalGetSecurityGroupStates() Goalstate.java","12","0"
"com.futurewei.alcor.schema.Goalstate$GoalStateV2$SecurityGroupStatesDefaultEntryHolder.<clinit>() Goalstate.java","12","0"
"com.futurewei.alcor.schema.Goalstate$HostResources.toBuilder() Goalstate.java","12","0"
"com.futurewei.alcor.schema.Goalstate$HostResources.toBuilder() Goalstate.java","12","0"
"com.futurewei.alcor.schema.Neighbor$NeighborConfiguration.internalGetFieldAccessorTable() Neighbor.java","12","0"
"com.futurewei.alcor.schema.SecurityGroup$SecurityGroupState.<clinit>() SecurityGroup.java","12","0"
"com.futurewei.alcor.schema.Vpc$VpcConfiguration.getSerializedSize() Vpc.java","12","0"
"com.futurewei.alcor.schema.Vpc$VpcState.internalGetFieldAccessorTable() Vpc.java","12","0"
"com.google.common.base.Stopwatch.<init>() Stopwatch.java","12","0"
"com.google.common.base.Stopwatch.createUnstarted() Stopwatch.java","12","0"
"com.google.common.collect.Lists.computeArrayListCapacity(int) Lists.java","12","0"
"com.google.common.collect.Lists.newArrayList(Object[]) Lists.java","12","0"
"com.google.protobuf.DescriptorProtos$FileOptions.<clinit>() DescriptorProtos.java","12","0"
"com.google.protobuf.DescriptorProtos$FileOptions.<init>() DescriptorProtos.java","12","0"
"com.google.protobuf.GeneratedMessageV3$ExtendableMessage.<init>() GeneratedMessageV3.java","12","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$MapFieldAccessor.<init>(Descriptors$FieldDescriptor, String, Class, Class) GeneratedMessageV3.java","12","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$MapFieldAccessor.get(GeneratedMessageV3) GeneratedMessageV3.java","12","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$MapFieldAccessor.getMapField(GeneratedMessageV3) GeneratedMessageV3.java","12","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$MapFieldAccessor.getRepeatedCount(GeneratedMessageV3) GeneratedMessageV3.java","12","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$RepeatedFieldAccessor.get(GeneratedMessageV3) GeneratedMessageV3.java","12","0"
"com.google.protobuf.GeneratedMessageV3$FieldAccessorTable$RepeatedMessageFieldAccessor.<init>(Descriptors$FieldDescriptor, String, Class, Class) GeneratedMessageV3.java","12","0"
"com.google.protobuf.MapEntry.newBuilderForType() MapEntry.java","12","0"
"com.google.protobuf.MapField.convertKeyAndValueToMessage(Object, Object) MapField.java","12","0"
"com.google.protobuf.MapField.convertMapToList(MapField$MutatabilityAwareMap) MapField.java","12","0"
"com.google.protobuf.MapField.getList() MapField.java","12","0"
"com.google.protobuf.MapField$ImmutableMessageConverter.convertKeyAndValueToMessage(Object, Object) MapField.java","12","0"
"com.google.protobuf.TextFormat.<clinit>() TextFormat.java","12","0"
"com.google.protobuf.TextFormat$TextGenerator.eol() TextFormat.java","12","12"
"com.google.protobuf.UnknownFieldSet.getSerializedSize() UnknownFieldSet.java","12","12"
"io.grpc.internal.AbstractServerStream.<init>(WritableBufferAllocator, StatsTraceContext) AbstractServerStream.java","12","0"
"io.grpc.internal.AbstractStream$TransportState.messagesAvailable(StreamListener$MessageProducer) AbstractStream.java","12","0"
"io.grpc.internal.CensusStatsModule$ServerTracer.<init>(CensusStatsModule, TagContext) CensusStatsModule.java","12","0"
"io.grpc.internal.CensusTracingModule$ServerTracerFactory.newServerStreamTracer(String, Metadata) CensusTracingModule.java","12","0"
"io.grpc.internal.KeepAliveManager.<init>(KeepAliveManager$KeepAlivePinger, ScheduledExecutorService, long, long, boolean) KeepAliveManager.java","12","0"
"io.grpc.internal.MessageDeframer.processBody() MessageDeframer.java","12","0"
"io.grpc.internal.ServerCallImpl.newServerStreamListener(ServerCall$Listener) ServerCallImpl.java","12","0"
"io.grpc.internal.ServerCallImpl$ServerStreamListenerImpl.<init>(ServerCallImpl, ServerCall$Listener, Context$CancellableContext) ServerCallImpl.java","12","0"
"io.grpc.internal.ServerImpl$JumpToApplicationThreadServerStreamListener.messagesAvailable(StreamListener$MessageProducer) ServerImpl.java","12","0"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler.<init>(ChannelPromise, Http2Connection, ServerTransportListener, List, TransportTracer, Http2ConnectionDecoder, Http2ConnectionEncoder, Http2Settings, int, long, long, long, long, long, KeepAliveEnforcer) NettyServerHandler.java","12","12"
"io.grpc.netty.shaded.io.grpc.netty.NettyServerStream.<init>(Channel, NettyServerStream$TransportState, Attributes, String, StatsTraceContext, TransportTracer) NettyServerStream.java","12","0"
